epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.676,2.06699,3.7394,1.99423,0.74214,0.125,0.13649,0.0235,2.21147,4.07278,2.28409,3.334e-05,3.334e-05,3.334e-05
2,1167.47,1.832,2.70152,1.65711,0.84403,0.42239,0.52673,0.23347,1.88557,2.65309,1.9139,8.25248e-05,8.25248e-05,8.25248e-05
